GO:0019058 GO:0019058 BPO 1.000
GO:0019012 GO:0019012 CCO 1.000
GO:0019012 GO:0020002 CCO 0.114
GO:0019012 GO:0030430 CCO 0.106
GO:0019012 GO:0016020 CCO 0.308
GO:0020002 GO:0019012 CCO 0.114
GO:0020002 GO:0020002 CCO 1.000
GO:0020002 GO:0030430 CCO 0.344
GO:0020002 GO:0016020 CCO 0.114
GO:0030430 GO:0019012 CCO 0.106
GO:0030430 GO:0020002 CCO 0.344
GO:0030430 GO:0030430 CCO 1.000
GO:0030430 GO:0016020 CCO 0.106
GO:0016020 GO:0019012 CCO 0.308
GO:0016020 GO:0020002 CCO 0.114
GO:0016020 GO:0030430 CCO 0.106
GO:0016020 GO:0016020 CCO 1.000
GO:0003723 GO:0003723 MFO 1.000
